Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
LRG Tech,PS-14-09,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit","$13,245.00 ","$8,830.00 ",33%,"$10,425.03 ",21.30%,"$10,503.81 ",US,1 Year
LRG Tech,PS-14-10,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex RedWall: On-board Cellular, WiFi, Ethernet: HO Access Point & Antennas: RAYTECH VARIO i8-2","$16,117.50 ","$10,745.00 ",33%,"$12,685.95 ",21.30%,"$12,781.81 ",US,1 Year
LRG Tech,PS-14-11,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet","$14,535.00 ","$9,690.00 ",33%,"$11,440.38 ",21.30%,"$11,526.83 ",US,1 Year
LRG Tech,PS-14-12,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes","$14,550.00 ","$9,700.00 ",33%,"$11,452.18 ",21.30%,"$11,538.72 ",US,1 Year
LRG Tech,PS-14-13,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit","$16,710.00 ","$11,140.00 ",33%,"$13,152.30 ",21.30%,"$13,251.69 ",US,1 Year
LRG Tech,PS-14-14,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit: RAYTECH VARIO i8-2","$19,755.00 ","$13,170.00 ",33%,"$15,549.00 ",21.30%,"$15,666.50 ",US,1 Year
LRG Tech,PS-14-15,"PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Fixed Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex Redwall: On-board Cellular, WiFi, Ethernet: Side Mt Light Kit","$20,220.00 ","$13,480.00 ",33%,"$15,914.99 ",21.30%,"$16,035.26 ",US,1 Year
LRG Tech,PS-14-16,"PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet","$20,782.50 ","$13,855.00 ",33%,"$16,357.73 ",21.30%,"$16,481.34 ",US,1 Year
LRG Tech,PS-14-17,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular, WiFi, Ethernet","$21,375.00 ","$14,250.00 ",33%,"$16,824.09 ",21.30%,"$16,951.22 ",US,1 Year
LRG Tech,PS-14-18,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: 2 Fixed Thermal Imaging Cameras 640r: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular, WiFi, Ethernet","$28,282.50 ","$18,855.00 ",33%,"$22,260.92 ",21.30%,"$22,429.14 ",US,1 Year
LRG Tech,PS-14-19,PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: 2 Fixed 3 MP Cameras: ,"$15,802.50 ","$10,535.00 ",33%,"$12,438.02 ",21.30%,"$12,532.01 ",US,1 Year
LRG Tech,PS-14-20,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet","$11,385.00 ","$7,590.00 ",33%,"$8,961.04 ",21.30%,"$9,028.75 ",US,1 Year
LRG Tech,PS-14-21,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: PTZ Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet","$13,597.50 ","$9,065.00 ",33%,"$10,702.48 ",21.30%,"$10,783.35 ",US,1 Year
LRG Tech,PS-14-22,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet","$15,825.00 ","$10,550.00 ",33%,"$12,455.73 ",21.30%,"$12,549.85 ",US,1 Year
LRG Tech,PS-14-23,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: PTZ Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet","$21,090.00 ","$14,060.00 ",33%,"$16,599.76 ",21.30%,"$16,725.20 ",US,1 Year
