Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (without IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
LRG TECH, PS-14-04, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular WiFi Ethernet: 130 Watt Solar System,"$11,865.00 ","$7,949.55 ",33%,"$9,767.83 ",18%,"$9,694.57 ",US,1 Yr
LRG TECH, PS-14-05, PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed Thermal Imaging Camera 640r: Edge Camera Recording License: On-board Cellular WiFi Ethernet,"$15,997.50 ","$10,718.33 ",33%,"$13,169.91 ",18%,"$13,071.13 ",US,1 Yr
LRG TECH, PS-14-06, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed Thermal Imaging Camera 640r: Edge Camera Recording License: On-board Cellular WiFi Ethernet: 130 Watt Solar System,"$19,095.00 ","$12,793.65 ",33%,"$15,719.91 ",18%,"$15,602.01 ",US,1 Yr
LRG TECH, PS-14-07, PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License On-board Cellular WiFi Ethernet,"$10,987.50 ","$7,361.63 ",33%,"$9,045.44 ",18%,"$8,977.60 ",US,1 Yr
LRG TECH, PS-14-08, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex RedWall: On-board Cellular WiFi Ethernet: Side Mt Light Kit,"$13,027.50 ","$8,728.43 ",33%,"$10,724.86 ",18%,"$10,644.43 ",US,1 Yr
LRG TECH, PS-14-09, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular WiFi Ethernet: Red and Blue LED Strobes: Side Mt Light Kit,"$13,245.00 ","$8,874.15 ",33%,"$10,903.91 ",18%,"$10,822.13 ",US,1 Yr
LRG TECH, PS-14-10, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex RedWall: On-board Cellular WiFi Ethernet: HO Access Point & Antennas: RAYTECH VARIO i8-2,"$16,117.50 ","$10,798.73 ",33%,"$13,268.70 ",18%,"$13,169.18 ",US,1 Yr
LRG TECH, PS-14-11, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular WiFi Ethernet,"$14,535.00 ","$9,738.45 ",33%,"$11,965.90 ",18%,"$11,876.16 ",US,1 Yr
LRG TECH, PS-14-12, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular WiFi Ethernet: Red and Blue LED Strobes,"$14,550.00 ","$9,748.50 ",33%,"$11,978.25 ",18%,"$11,888.41 ",US,1 Yr
LRG TECH, PS-14-13, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: Optex LX Motion Detection: On-board Cellular WiFi Ethernet: Red and Blue LED Strobes: Side Mt Light Kit,"$16,710.00 ","$11,195.70 ",33%,"$13,756.47 ",18%,"$13,653.29 ",US,1 Yr
LRG TECH, PS-14-14, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular WiFi Ethernet: Red and Blue LED Strobes: Side Mt Light Kit: RAYTECH VARIO i8-2,"$19,755.00 ","$13,235.85 ",33%,"$16,263.25 ",18%,"$16,141.28 ",US,1 Yr
LRG TECH, PS-14-15, PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Fixed Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex Redwall: On-board Cellular WiFi Ethernet: Side Mt Light Kit,"$20,220.00 ","$13,547.40 ",33%,"$16,646.06 ",18%,"$16,521.22 ",US,1 Yr
LRG TECH, PS-14-16, PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: On-board Cellular WiFi Ethernet,"$20,782.50 ","$13,924.28 ",33%,"$17,109.15 ",18%,"$16,980.83 ",US,1 Yr
LRG TECH, PS-14-17, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular WiFi Ethernet,"$21,375.00 ","$14,321.25 ",33%,"$17,596.92 ",18%,"$17,464.94 ",US,1 Yr
LRG TECH, PS-14-18, PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: 2 Fixed Thermal Imaging Cameras 640r: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular WiFi Ethernet,"$28,282.50 ","$18,949.28 ",33%,"$23,283.50 ",18%,"$23,108.88 ",US,1 Yr
LRG TECH, PS-14-19, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: 2 Fixed 3 MP Cameras: ,"$15,802.50 ","$10,587.68 ",33%,"$13,009.38 ",18%,"$12,911.80 ",US,1 Yr
LRG TECH, PS-14-20, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular WiFi Ethernet,"$11,385.00 ","$7,627.95 ",33%,"$9,372.67 ",18%,"$9,302.38 ",US,1 Yr
LRG TECH, PS-14-21, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: PTZ Camera: Edge Camera Recording License: On-board Cellular WiFi Ethernet,"$13,597.50 ","$9,110.33 ",33%,"$11,194.11 ",18%,"$11,110.16 ",US,1 Yr
LRG TECH, PS-14-22, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular WiFi Ethernet,"$15,825.00 ","$10,602.75 ",33%,"$13,027.89 ",18%,"$12,930.18 ",US,1 Yr
LRG TECH, PS-14-23, PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: PTZ Camera: Edge Camera Recording License: On-board Cellular WiFi Ethernet,"$21,090.00 ","$14,130.30 ",33%,"$17,362.29 ",18%,"$17,232.07 ",US,1 Yr
