Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,5F100-QLZ,"ADPT, ADAPTER LC QUAD BLUE",$31.15,$1.00 ,1%,$1.00 ,1%,$20.83,US,1 Year
Leviton,5FUHD-2IL,PLT HDX LC 12F PHOS,$87.95,$1.00 ,1%,$1.00 ,1%,$51.25,US,1 Year
Leviton,5FUHD-2LL,PLT HDX LC 12F ZIR,$101.60,$1.00 ,1%,$1.00 ,1%,$59.20,US,1 Year
Leviton,5FUHD-2PL,PLT HDX LC 12F PRL ZIR,$101.60,$1.00 ,1%,$1.00 ,1%,$59.20,US,1 Year
Leviton,5FUHD-2QL,PLT HDX LC 12F ZIR,$101.60,$1.00 ,1%,$1.00 ,1%,$59.20,US,1 Year
Leviton,5FUHD-6IC,PLT HDX SC 6F PHOS,$47.43,$1.00 ,1%,$1.00 ,1%,$27.63,US,1 Year
Leviton,5FUHD-6LC,PLT HDX SC 6F ZIR,$54.16,$1.00 ,1%,$1.00 ,1%,$31.57,US,1 Year
Leviton,5FUHD-6MB,PLT HDX MTP K-UP/UP,$136.69,$1.00 ,1%,$1.00 ,1%,$79.65,US,1 Year
Leviton,5FUHD-6MP,PLT HDX MTP K-UP/DWN,$136.69,$1.00 ,1%,$1.00 ,1%,$79.65,US,1 Year
Leviton,5FUHD-6QC,PLT HDX SC 6F ZIR,$54.16,$1.00 ,1%,$1.00 ,1%,$31.57,US,1 Year
Leviton,5FUHD-BLK,PLT HDX BLANK,$6.85,$1.00 ,1%,$1.00 ,1%,$3.99,US,1 Year
Leviton,5G108-BB5,JACK C5E 25PK BN,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BC5,JACK C5E 25PK CR,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BE5,JACK C5E 25PK BK,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BG5,JACK C5E 25PK GY,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BI5,JACK C5E 25PK IV,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BL5,JACK C5E 25PK BL,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BO5,JACK C5E 25PK OR,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BP5,JACK C5E 25PK PU,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BR5,JACK C5E 25PK RD,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BT5,JACK C5E 25PK LA,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BV5,JACK C5E 25PK GN,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BW5,JACK C5E 25PK WH,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-BY5,JACK C5E 25PK YL,$104.83,$1.00 ,1%,$1.00 ,1%,$66.65,US,1 Year
Leviton,5G108-JE5,JACK C5E 150PK JRPD BK,$628.96,$1.00 ,1%,$1.00 ,1%,$471.12,US,1 Year
Leviton,5G108-JI5,JACK C5E 150PK JRPD IV,$610.68,$1.00 ,1%,$1.00 ,1%,$441.27,US,1 Year
Leviton,5G108-JL5,JACK C5E 150PK JRPD BL,$610.68,$1.00 ,1%,$1.00 ,1%,$441.27,US,1 Year
Leviton,5G108-JO5,JACK C5E 150PK JRPD OR,$610.68,$1.00 ,1%,$1.00 ,1%,$441.27,US,1 Year
Leviton,5G108-JW5,JACK C5E 150PK JRPD WH,$610.68,$1.00 ,1%,$1.00 ,1%,$441.27,US,1 Year
Leviton,5G108-RB5,JACK C5E BN,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RC5,JACK C5E CR,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RE5,JACK C5E BK,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RG5,JACK C5E GY,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RI5,JACK C5E IV,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RL5,JACK C5E BL,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RO5,JACK C5E OR,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RP5,JACK C5E PU,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RR5,JACK C5E RD,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RT5,JACK C5E LA,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RV5,JACK C5E GN,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RW5,JACK C5E WH,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G108-RY5,JACK C5E YL,$4.41,$1.00 ,1%,$1.00 ,1%,$2.81,US,1 Year
Leviton,5G110-BB5,JACK C5E+ 25PK BN,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BC5,JACK C5E+ 25PK CR,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BE5,JACK C5E+ 25PK BK,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BG5,JACK C5E+ 25PK GY,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BI5,JACK C5E+ 25PK IV,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BL5,JACK C5E+ 25PK BL,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BO5,JACK C5E+ 25PK OR,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BP5,JACK C5E+ 25PK PU,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BR5,JACK C5E+ 25PK RD,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BT5,JACK C5E+ 25PK LA,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BV5,JACK C5E+ 25PK GN,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BW5,JACK C5E+ 25PK WH,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
Leviton,5G110-BY5,JACK C5E+ 25PK YL,$132.14,$1.00 ,1%,$1.00 ,1%,$84.02,US,1 Year
