Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,5R1UL-CMT,MGR CBL 1U OPTX 500I   ,$56.19 ,$26.65,1%,$1 ,1%,$32.50,US,1 Year
Leviton,5R1UM-F03,ENCL 1U 1000I EMPTY    ,$219.34 ,$104.02,1%,$1 ,1%,$126.85,US,1 Year
Leviton,5R1UM-S03,ENCL 1U 1000I EMPTY+TRY,$286.26 ,$135.76,1%,$1 ,1%,$165.56,US,1 Year
Leviton,5R1UM-S08,ENCL 1U 1000I HD W/TRY ,$314.89 ,$149.33,1%,$1 ,1%,$182.11,US,1 Year
Leviton,5R1UR-TRY,TRY RTRO 1U ULTRA/1000I,$127.34 ,$60.39,1%,$1 ,1%,$73.65,US,1 Year
Leviton,5R2UH-S06,ENCL 2U ULTRA EMPTY+TRY,$517.36 ,$221.08,1%,$1 ,1%,$269.61,US,1 Year
Leviton,5R2UH-S16,ENCL 2U ULTRA HD W/TRY ,$569.10 ,$243.19,1%,$1 ,1%,$296.57,US,1 Year
Leviton,5R2UL-CMT,MGR CBL 2/3U OPTX 500I ,$69.66 ,$33.04,1%,$1 ,1%,$40.29,US,1 Year
Leviton,5R2UM-F06,ENCL 2U 1000I EMPTY    ,$281.36 ,$133.44,1%,$1 ,1%,$162.73,US,1 Year
Leviton,5R2UM-S06,ENCL 2U 1000I EMPTY+TRY,$360.23 ,$170.83,1%,$1 ,1%,$208.33,US,1 Year
Leviton,5R2UM-S16,ENCL 2U 1000I HD W/TRY ,$396.25 ,$187.92,1%,$1 ,1%,$229.17,US,1 Year
Leviton,5R2UR-TRY,TRY RTRO 2U ULTRA/1000I,$188.65 ,$89.46,1%,$1 ,1%,$109.10,US,1 Year
Leviton,5R3UM-F09,ENCL 3U 1000I EMPTY    ,$371.65 ,$176.25,1%,$1 ,1%,$214.94,US,1 Year
Leviton,5R3UM-F12,ENCL 3U 1000I EMPTY    ,$375.05 ,$177.86,1%,$1 ,1%,$216.90,US,1 Year
Leviton,5R4UH-S12,ENCL 4U ULTRA EMPTY+TRY,$726.10 ,$310.28,1%,$1 ,1%,$378.39,US,1 Year
Leviton,5R4UM-F12,ENCL 4U 1000I EMPTY    ,$431.91 ,$204.83,1%,$1 ,1%,$249.79,US,1 Year
Leviton,5R4UM-F15,ENCL 4U 1000I EMPTY    ,$434.16 ,$205.89,1%,$1 ,1%,$251.09,US,1 Year
Leviton,5RCMP-KIT,KIT CBL CLAMP OPT-X RM ,$46.71 ,$22.15,1%,$1 ,1%,$27.01,US,1 Year
Leviton,5RCMR-KIT,KIT CBL CLAMP RM UNIV  ,$84.86 ,$40.24,1%,$1 ,1%,$49.07,US,1 Year
Leviton,5S180-SH5,JACK C5E 8P8C SHIELDED ,$9.08 ,$3.99,1%,$1 ,1%,$4.87,US,1 Year
Leviton,5S460-03S,PCORD C5E FTP 3' GY    ,$6.94 ,$3.04,1%,$1 ,1%,$3.71,US,1 Year
Leviton,5S460-05S,PCORD C5E FTP 5' GY    ,$8.05 ,$3.54,1%,$1 ,1%,$4.32,US,1 Year
Leviton,5S460-07S,PCORD C5E FTP 7' GY    ,$9.29 ,$4.08,1%,$1 ,1%,$4.98,US,1 Year
Leviton,5S460-10S,PCORD C5E FTP 10' GY   ,$11.14 ,$4.89,1%,$1 ,1%,$5.96,US,1 Year
Leviton,5S460-15S,PCORD C5E FTP 15' GY   ,$14.25 ,$6.26,1%,$1 ,1%,$7.63,US,1 Year
Leviton,5S460-20S,PCORD C5E FTP 20' GY   ,$17.35 ,$7.62,1%,$1 ,1%,$9.29,US,1 Year
Leviton,5T000-00T,SPL TRAY D 4X7 HS-P 12F,$36.51 ,$17.32,1%,$1 ,1%,$21.12,US,1 Year
Leviton,5W110-00N,ENCL SML SOLID DR NO   ,$109.18 ,$54.50,1%,$1 ,1%,$66.46,US,1 Year
Leviton,5W120-00N,ENCL SMALL SPL MT DR+LK,$136.00 ,$67.89,1%,$1 ,1%,$82.79,US,1 Year
Leviton,5W170-00N,ENCL SML SOL DR+LK+KY  ,$122.09 ,$60.95,1%,$1 ,1%,$74.33,US,1 Year
Leviton,5W310-00N,ENCL MD EMPTY SOL MT DR,$148.88 ,$74.32,1%,$1 ,1%,$90.63,US,1 Year
Leviton,5W320-00N,ENCL MD EMPTY SPL MT DR,$178.68 ,$89.19,1%,$1 ,1%,$108.77,US,1 Year
Leviton,5W370-00N,ENCL MD EM SLD M DR+L+K,$171.21 ,$85.47,1%,$1 ,1%,$104.23,US,1 Year
Leviton,5W597-U48,PNL 110 C5E 48PT 2U ANG,$351.75 ,$171.12,1%,$1 ,1%,$208.68,US,1 Year
Leviton,5W710-00N,ENCL LG EMPTY SOL MT DR,$317.61 ,$158.55,1%,$1 ,1%,$193.35,US,1 Year
Leviton,5W720-00N,ENCL LG EMPTY SPL MT DR,$335.00 ,$167.23,1%,$1 ,1%,$203.94,US,1 Year
Leviton,5W770-00N,ENCL LG EM SLD M DR+L+K,$330.00 ,$164.74,1%,$1 ,1%,$200.90,US,1 Year
Leviton,6110G-RB6,JACK C6A BN            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
