Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,20300121,DUST COVER FOR MODULAR JACKS,$4.42 ,$2.21 ,50%,$2.72 ,39%,$2.70 ,USA,1 Year
ORTRONICS,20300155,"SHUTTER,DATA,BLACK",$27.16 ,$13.58 ,50%,$16.69 ,39%,$16.56 ,USA,1 Year
ORTRONICS,20300156,"SHUTTER,BLANK,BLACK",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20300192,"RJ45K INLINE COUPLER 1-1,CAT5e",$11.56 ,$5.78 ,50%,$7.10 ,39%,$7.05 ,USA,1 Year
ORTRONICS,20309154,"SHUTTER,PHONE,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20309155,"SHUTTER,DATA,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20309156,"SHUTTER,BLANK,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322154,"SHUTTER,PHONE,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322155,"SHUTTER,DATA,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322156,"SHUTTER,BLANK,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20323155,"SHUTTER,DATA,LT ORANGE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324154,"SHUTTER,PHONE,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324155,"SHUTTER,DATA,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324156,"SHUTTER,BLANK,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325154,"SHUTTER,PHONE,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325155,"SHUTTER,DATA,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325156,"SHUTTER,BLANK,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326154,"SHUTTER,PHONE,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326155,"SHUTTER,DATA,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326156,"SHUTTER,BLANK,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20327155,"SHUTTER,DATA,PURPLE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20328155,"SHUTTER,DATA,LT GRAY",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20328156,"SHUTTER,BLANK,LT GRAY",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20500043,"SLEEVES,HEAT SHRINK,40MM,PKG50",$77.98 ,$38.99 ,50%,$47.91 ,39%,$47.55 ,USA,1 Year
ORTRONICS,20500130,HEAT SHRINK SLEEVES 60MM,$105.94 ,$52.97 ,50%,$65.09 ,39%,$64.60 ,USA,1 Year
ORTRONICS,20500236,"KIT,ACCESSORY,ST",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500237,"KIT,ACCESSORY,SC",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500267,"CONV KIT,2MM & 3MM CABLE",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500329,"LC DUPLEX CLIP KIT, BEIGE",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,20500330,"LC DUPLEX KIT, AQUA",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,20500331,"LC DUPLEX CLIP KIT, BLUE",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,30200007,"110 BLOCK,300 PAIR W/LEGS",$49.98 ,$24.99 ,50%,$30.71 ,39%,$30.48 ,USA,1 Year
ORTRONICS,30200020,110PB2-300FT,$300.82 ,$150.41 ,50%,$184.81 ,39%,$183.43 ,USA,1 Year
ORTRONICS,30200022,110DW4-300 BLOCKS W/O LEGS,$51.52 ,$25.76 ,50%,$31.65 ,39%,$31.41 ,USA,1 Year
ORTRONICS,30200024,110PA2-900FT  110 BACKBOARD,$690.18 ,$345.09 ,50%,$424.02 ,39%,$420.84 ,USA,1 Year
ORTRONICS,30200026,110PB2-900FT 110 BACKBOARD,$626.46 ,$313.23 ,50%,$384.87 ,39%,$381.99 ,USA,1 Year
ORTRONICS,30200095,110AA2-300FT,$122.44 ,$61.22 ,50%,$75.22 ,39%,$74.66 ,USA,1 Year
ORTRONICS,30200108,"KIT,CONNECTOR,110C3,QTY 10",$9.32 ,$4.66 ,50%,$5.73 ,39%,$5.68 ,USA,1 Year
ORTRONICS,30200109,"KIT,CONNECTOR,110C4,QTY10",$9.82 ,$4.91 ,50%,$6.03 ,39%,$5.99 ,USA,1 Year
ORTRONICS,30200110,"KIT CONNECTOR,110C5,QTY10",$10.88 ,$5.44 ,50%,$6.68 ,39%,$6.63 ,USA,1 Year
ORTRONICS,30200116,110AA2-100FT,$57.76 ,$28.88 ,50%,$35.49 ,39%,$35.22 ,USA,1 Year
ORTRONICS,30200132,110 900PR BACKBOARD KIT,$389.32 ,$194.66 ,50%,$239.18 ,39%,$237.39 ,USA,1 Year
ORTRONICS,30200139,"TROUGH,110 W/O LEGS",$10.34 ,$5.17 ,50%,$6.35 ,39%,$6.30 ,USA,1 Year
ORTRONICS,30200140,"TROUGH,110 W/LEGS",$10.90 ,$5.45 ,50%,$6.70 ,39%,$6.65 ,USA,1 Year
ORTRONICS,30200143,"BLOCK 110,100PR W/O LEGS",$18.92 ,$9.46 ,50%,$11.62 ,39%,$11.54 ,USA,1 Year
ORTRONICS,30203461,110PA2-300FT,$293.16 ,$146.58 ,50%,$180.11 ,39%,$178.76 ,USA,1 Year
ORTRONICS,30203506,"110AB2-100FT,KIT",$46.24 ,$23.12 ,50%,$28.41 ,39%,$28.20 ,USA,1 Year
ORTRONICS,30203519,"110AB2-300FT,KIT",$108.44 ,$54.22 ,50%,$66.62 ,39%,$66.12 ,USA,1 Year
ORTRONICS,30600148,600 PAIR BRACKET,$228.22 ,$114.11 ,50%,$140.21 ,39%,$139.16 ,USA,1 Year
ORTRONICS,30600150,"BRACKET,200PAIR,110 RACK MNT",$63.08 ,$31.54 ,50%,$38.75 ,39%,$38.46 ,USA,1 Year
ORTRONICS,30600159,"BRKT,110,600PR RACK MOUNT KIT",$93.70 ,$46.85 ,50%,$57.57 ,39%,$57.13 ,USA,1 Year
ORTRONICS,30600166,"110, 900PR RACK MNT BRKT KIT",$228.22 ,$114.11 ,50%,$140.21 ,39%,$139.16 ,USA,1 Year
ORTRONICS,30600167,"BRACKET,200PAIR,110 RACK MNT",$62.46 ,$31.23 ,50%,$38.37 ,39%,$38.09 ,USA,1 Year
ORTRONICS,40300010,"HSG,EXTENSION,2.75X4.5X0.90",$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,40300011,"SII,FP,STD,SG,PC,2.75X4.5X.75",$3.36 ,$1.68 ,50%,$2.06 ,39%,$2.05 ,USA,1 Year
ORTRONICS,40300023,"HSG,SII,BLANK,180,1.5UNIT",$0.80 ,$0.40 ,50%,$0.49 ,39%,$0.49 ,USA,1 Year
ORTRONICS,40300061,"SMB,SG,PLASTIC",$6.98 ,$3.49 ,50%,$4.29 ,39%,$4.26 ,USA,1 Year
ORTRONICS,40300100,"JACK MARKER,VOICE,BLACK",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40300141,JACK MARKER VOICE & DATA 1-6,$1.06 ,$0.53 ,50%,$0.65 ,39%,$0.65 ,USA,1 Year
ORTRONICS,40300144,"HSG,SII,BLANK,180,1/2 UNIT",$0.70 ,$0.35 ,50%,$0.43 ,39%,$0.43 ,USA,1 Year
ORTRONICS,40300158,"FP,SII,STD,SG,PC,2.75X4.5X.5",$2.52 ,$1.26 ,50%,$1.55 ,39%,$1.54 ,USA,1 Year
ORTRONICS,40300159,"FP,SII,STD,DG,PC,4.5X4.5",$6.40 ,$3.20 ,50%,$3.93 ,39%,$3.90 ,USA,1 Year
ORTRONICS,40300164,"HSG,SII,BLANK,180,1UNIT",$0.54 ,$0.27 ,50%,$0.33 ,39%,$0.33 ,USA,1 Year
ORTRONICS,40300167,"BEZEL,FURNITURE,.34""DEEP",$2.20 ,$1.10 ,50%,$1.35 ,39%,$1.34 ,USA,1 Year
ORTRONICS,40300175,"FP,SII,HP,DG,4.5x4.5x1.65",$8.88 ,$4.44 ,50%,$5.46 ,39%,$5.41 ,USA,1 Year
ORTRONICS,40300185,"SMB,SG,PLASTIC",$5.30 ,$2.65 ,50%,$3.26 ,39%,$3.23 ,USA,1 Year
ORTRONICS,40300186,"SMB,DG,PLASTIC",$6.04 ,$3.02 ,50%,$3.71 ,39%,$3.68 ,USA,1 Year
ORTRONICS,40300191,"HSG,SII,BLANK,1UNIT",$5.44 ,$2.72 ,50%,$3.34 ,39%,$3.32 ,USA,1 Year
ORTRONICS,40300196,"SII,FURN BEZEL,3.37x2.25,",$5.28 ,$2.64 ,50%,$3.24 ,39%,$3.22 ,USA,1 Year
ORTRONICS,40300200,"JACK MARKER DATA,BLACK",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40300213,"BEZEL,CT 3.60""X2.55"",FOG WHITE",$5.28 ,$2.64 ,50%,$3.24 ,39%,$3.22 ,USA,1 Year
ORTRONICS,40300255,"FP,SG,DUPLEX,106,FOG WHITE",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300256,"FP,DG,DUPLEX,106,FOG WHITE",$3.78 ,$1.89 ,50%,$2.32 ,39%,$2.30 ,USA,1 Year
ORTRONICS,40300270,"STYLISTICS FP,STD,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300271,"STYLISTICS FP,STD,DG,PC",$3.78 ,$1.89 ,50%,$2.32 ,39%,$2.30 ,USA,1 Year
ORTRONICS,40300545,"FP,TRAC JACK,6HOLE,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300546,"FP,TRAC JACK,4HOLE,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300547,"FP,TRAC JACK,3HOLE,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300548,"FP,TRAC JACK,2HOLE,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300549,"FP,TRAC JACK,1HOLE,SG,PC",$2.42 ,$1.21 ,50%,$1.49 ,39%,$1.48 ,USA,1 Year
ORTRONICS,40300554,"FP,TRAC JACK,8HOLE,DG,PC",$5.78 ,$2.89 ,50%,$3.55 ,39%,$3.52 ,USA,1 Year
ORTRONICS,40300555,"FP,TRAC JACK,6HOLE,DG,PC",$5.78 ,$2.89 ,50%,$3.55 ,39%,$3.52 ,USA,1 Year
ORTRONICS,40300575,"BEZEL,TRACJACK,6 HOLE,FOG WHT.",$4.72 ,$2.36 ,50%,$2.90 ,39%,$2.88 ,USA,1 Year
ORTRONICS,40300576,"BEZEL, TRACJACK, 6HOLE",$4.72 ,$2.36 ,50%,$2.90 ,39%,$2.88 ,USA,1 Year
ORTRONICS,40300577,"TRACJACK BEZEL,4 HOLE",$4.72 ,$2.36 ,50%,$2.90 ,39%,$2.88 ,USA,1 Year
ORTRONICS,40300620,"FP,TRAC JACK,KIT,12HOLE,DG,PC",$5.80 ,$2.90 ,50%,$3.56 ,39%,$3.54 ,USA,1 Year
ORTRONICS,40300630,"BEZEL,4/KEYSTONE,FURNITURE",$3.76 ,$1.88 ,50%,$2.31 ,39%,$2.29 ,USA,1 Year
ORTRONICS,40300633,"BEZEL,FURNITURE,1.50""DEEP",$4.08 ,$2.04 ,50%,$2.51 ,39%,$2.49 ,USA,1 Year
ORTRONICS,40300637,"WP,SS,SG,TRACJACK OPENING",$12.20 ,$6.10 ,50%,$7.50 ,39%,$7.44 ,USA,1 Year
ORTRONICS,40300656,"BEZEL,SII,2PORT,TJ,1-1/2 UNIT",$10.80 ,$5.40 ,50%,$6.64 ,39%,$6.59 ,USA,1 Year
ORTRONICS,40300664,"FP,SII,2-IU,ANGLE,SG,2.75X4.5",$2.68 ,$1.34 ,50%,$1.65 ,39%,$1.63 ,USA,1 Year
ORTRONICS,40300749,"SII,2PORT,TJ,OPENINGS,FLUSH",$10.88 ,$5.44 ,50%,$6.68 ,39%,$6.63 ,USA,1 Year
ORTRONICS,40309100,"JACK MARKER,VOICE BLANK,",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40309200,"JACK MARKER,DATA BLANK, WHITE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40309500,"JACK MARKER,BLANK,FOG WHITE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40313100,"JACK MARKER,VOICE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40313200,"JACK MARKER,DATA",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40321100,"JACK MKR,VOICE BLANK,LT BROWN",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40321200,"JACK MKR,DATA BLANK,LT BROWN",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40322100,"JACK MARKER,VOICE,LT RED",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40322200,"JACK MARKER,DATA,LT RED",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40322500,"JACK MARKER,BLANK,LT RED",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40323100,"JACK MKR,VOICE,LT ORANGE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40323200,"JACK MARKER,DATA,ORANGE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40323500,"JACK MARKER,BLANK,LT ORANGE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40324100,"JACK MKR,VOICE,LT YELLOW",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40324200,"MARKER,DATA,LT YELLOW",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40324500,"JACK MARKER,BLANK,LT YELLOW",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40325100,"JACK MKR,VOICE,LT GREEN",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40325200,"JACK MKR,DATA,LT GREEN",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40325500,"JACK MARKER,BLANK,LT GREEN",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40326100,"MARKER,VOICE,LT BLUE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40326200,"JACK MKR,DATA,LT BLUE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40326500,"JACK MARKER,BLANK,LT BLUE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40327100,"MARKER,VOICE,PURPLE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40327200,"JACK MARKER,DATA,PURPLE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40327500,"JACK MARKER,BLANK,PURPLE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40328100,"MARKER,VOICE,LT GREY",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40328200,"JACK MARKER,DATA,LT GREY",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40343200,"JACK MKR,DATA,ORANGE",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40400031,SF MT BOX SERIES II QUAD,$6.94 ,$3.47 ,50%,$4.26 ,39%,$4.23 ,USA,1 Year
ORTRONICS,40400040,"SMB,SERIES II,LOW PROFILE",$10.18 ,$5.09 ,50%,$6.25 ,39%,$6.21 ,USA,1 Year
ORTRONICS,40400050,SERIES II SINGLE SMB,$4.20 ,$2.10 ,50%,$2.58 ,39%,$2.56 ,USA,1 Year
ORTRONICS,40500089,MIGHTY MO WALL MNT CABINET 12U,"$1,072.16 ",$536.08 ,50%,$658.70 ,39%,$653.76 ,USA,1 Year
ORTRONICS,40500090,MIGHTY MO WALL MNT CABINET 21U,"$1,362.06 ",$681.03 ,50%,$836.80 ,39%,$830.52 ,USA,1 Year
ORTRONICS,40500103,"MIGHTY MO CABINET,42U,BLACK","$2,608.18 ","$1,304.09 ",50%,"$1,602.37 ",39%,"$1,590.35 ",USA,1 Year
ORTRONICS,40500104,"MIGHTY MO CABINET,42U,BLACK","$2,680.52 ","$1,340.26 ",50%,"$1,646.81 ",39%,"$1,634.46 ",USA,1 Year
ORTRONICS,40500105,"MIGHTY MO CABINET,42U,BLACK","$3,115.16 ","$1,557.58 ",50%,"$1,913.84 ",39%,"$1,899.49 ",USA,1 Year
ORTRONICS,40500106,"MIGHTY MO CABINET,42U,BLACK","$3,260.02 ","$1,630.01 ",50%,"$2,002.84 ",39%,"$1,987.82 ",USA,1 Year
ORTRONICS,40500128,MIGHTY MO WALL MNT CABINET 6U,$681.16 ,$340.58 ,50%,$418.48 ,39%,$415.34 ,USA,1 Year
ORTRONICS,40500129,MIGHTY MO WALL MNT CABINET 9U,$709.94 ,$354.97 ,50%,$436.16 ,39%,$432.89 ,USA,1 Year
ORTRONICS,40500130,MIGHTY MO WALL CABINET 12U,$796.96 ,$398.48 ,50%,$489.62 ,39%,$485.95 ,USA,1 Year
ORTRONICS,40500131,MIGHTY MO WALL MNT CABINET 16U,"$1,217.20 ",$608.60 ,50%,$747.80 ,39%,$742.20 ,USA,1 Year
ORTRONICS,40500132,BOTTOM ENTRY PLATE W/ BRUSH,$69.72 ,$34.86 ,50%,$42.83 ,39%,$42.51 ,USA,1 Year
ORTRONICS,40500137,"MOUNTING KIT,FLOOR",$63.88 ,$31.94 ,50%,$39.25 ,39%,$38.95 ,USA,1 Year
ORTRONICS,40500138,"FAN ASSY,24 WIDE,2-100CFM FANS",$266.64 ,$133.32 ,50%,$163.81 ,39%,$162.59 ,USA,1 Year
ORTRONICS,40500139,"FAN ASSY,32WIDE,3-100CFM FANS",$341.96 ,$170.98 ,50%,$210.09 ,39%,$208.51 ,USA,1 Year
ORTRONICS,40500140,GROUNDING KIT,$46.34 ,$23.17 ,50%,$28.47 ,39%,$28.26 ,USA,1 Year
ORTRONICS,40500141,CASTERS,$81.40 ,$40.70 ,50%,$50.01 ,39%,$49.63 ,USA,1 Year
ORTRONICS,40500142,"TOP PLATE,VENTED,24WIDE",$69.60 ,$34.80 ,50%,$42.76 ,39%,$42.44 ,USA,1 Year
ORTRONICS,40500143,"TOP PLATE,VENTED,32WIDE",$75.50 ,$37.75 ,50%,$46.38 ,39%,$46.04 ,USA,1 Year
ORTRONICS,40500144,"TOP PLATE,VENTILATION SPACERS",$23.16 ,$11.58 ,50%,$14.23 ,39%,$14.12 ,USA,1 Year
ORTRONICS,40500145,BAYING KIT 24 DP W/FILLER PNLS,$185.66 ,$92.83 ,50%,$114.06 ,39%,$113.21 ,USA,1 Year
ORTRONICS,40500146,BAYING KIT 32 DP W/FILLER PNLS,$258.22 ,$129.11 ,50%,$158.64 ,39%,$157.45 ,USA,1 Year
ORTRONICS,40500190,DOOR CLOSE WITH MAGNET,$36.84 ,$18.42 ,50%,$22.63 ,39%,$22.46 ,USA,1 Year
ORTRONICS,40700071,"BEZEL FURNITURE,.125""DEEP",$1.32 ,$0.66 ,50%,$0.81 ,39%,$0.80 ,USA,1 Year
ORTRONICS,40700072,"BEZEL,FURNITURE,.625""DEEP",$1.94 ,$0.97 ,50%,$1.19 ,39%,$1.18 ,USA,1 Year
ORTRONICS,40700073,"BEZEL,FURNITURE,1""DEEP",$2.40 ,$1.20 ,50%,$1.47 ,39%,$1.46 ,USA,1 Year
ORTRONICS,40800017,106 BASEPLATE 2/TJ OPENINGS,$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,40800018,106 BASEPLATE 3/TJ OPENINGS,$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,40800019,106 BASEPLATE 4/TJ OPENINGS,$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,41200004,"MMO II PLATE, 2/SERIES II",$2.40 ,$1.20 ,50%,$1.47 ,39%,$1.46 ,USA,1 Year
ORTRONICS,41200010,MMO II PLATE 6PACK,$2.40 ,$1.20 ,50%,$1.47 ,39%,$1.46 ,USA,1 Year
ORTRONICS,41200012,"MMO II PLATE,4 SINGLE MINIMODS",$2.40 ,$1.20 ,50%,$1.47 ,39%,$1.46 ,USA,1 Year
ORTRONICS,41900017,"STYLISTICS,TRACJACK,3 HOLE",$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,41900018,"STYLISTICS,TRACJACK,4 HOLE",$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,42100002,"BLANK,TRACJACK,QTY 10",$4.12 ,$2.06 ,50%,$2.53 ,39%,$2.51 ,USA,1 Year
ORTRONICS,42100009,"TRACJACK,FURNITURE BEZEL",$1.62 ,$0.81 ,50%,$1.00 ,39%,$0.99 ,USA,1 Year
ORTRONICS,42100054,"TJ,BEZEL,MINI MOD,REAR LOAD",$7.56 ,$3.78 ,50%,$4.64 ,39%,$4.61 ,USA,1 Year
ORTRONICS,42100059,"TRACJACK,FURNITURE BEZEL",$8.40 ,$4.20 ,50%,$5.16 ,39%,$5.12 ,USA,1 Year
ORTRONICS,50900051,"POWER STRIP,8POS,REAR,20AMP",$172.12 ,$86.06 ,50%,$105.74 ,39%,$104.95 ,USA,1 Year
ORTRONICS,50900052,"POWER STRIP,8POS,REAR,20AMP",$166.50 ,$83.25 ,50%,$102.29 ,39%,$101.52 ,USA,1 Year
ORTRONICS,50900053,"POWER STRIP,8POSITION,20AMP",$172.12 ,$86.06 ,50%,$105.74 ,39%,$104.95 ,USA,1 Year
ORTRONICS,60300005,"TOOL,TERMIN.W/BLADE,HAND,D814",$135.28 ,$67.64 ,50%,$83.11 ,39%,$82.49 ,USA,1 Year
ORTRONICS,60300006,BLADE REPLACEMENT FOR 110,$67.44 ,$33.72 ,50%,$41.43 ,39%,$41.12 ,USA,1 Year
ORTRONICS,60300032,"STRIPPING TOOL,COPPER",$33.30 ,$16.65 ,50%,$20.46 ,39%,$20.30 ,USA,1 Year
ORTRONICS,60300110,"PUNCH TOOL,110,4-PAIR,W/HANDLE",$194.10 ,$97.05 ,50%,$119.25 ,39%,$118.35 ,USA,1 Year
ORTRONICS,60300111,"HEAD/BLADES,4-PAIR,REPLACEMENT",$69.00 ,$34.50 ,50%,$42.39 ,39%,$42.07 ,USA,1 Year
ORTRONICS,60300112,"BLADE,110,4-PR REPACEMENT",$48.64 ,$24.32 ,50%,$29.88 ,39%,$29.66 ,USA,1 Year
ORTRONICS,60300123,"FIBER CLEAVER TOOL,FIELD TERM",$650.14 ,$325.07 ,50%,$399.42 ,39%,$396.43 ,USA,1 Year
ORTRONICS,60300124,"FIBER STRIPPER,FIELD TERM KIT",$141.96 ,$70.98 ,50%,$87.22 ,39%,$86.56 ,USA,1 Year
ORTRONICS,60300125,"CRIMP TOOL W/DIE,FIELD TERM KT",$180.60 ,$90.30 ,50%,$110.95 ,39%,$110.12 ,USA,1 Year
ORTRONICS,60300126,"INSTALL.TOOL,FIELD TERM. KIT",$120.12 ,$60.06 ,50%,$73.80 ,39%,$73.24 ,USA,1 Year
ORTRONICS,60300127,"FIBER STRIPPER,FIELD TERM KIT",$108.34 ,$54.17 ,50%,$66.56 ,39%,$66.06 ,USA,1 Year
ORTRONICS,60300128,"MICROSCOPE, FIELD TERM KIT",$288.94 ,$144.47 ,50%,$177.51 ,39%,$176.18 ,USA,1 Year
ORTRONICS,60300166,"PAD, POLISHING, UNIVERSAL",$273.80 ,$136.90 ,50%,$168.21 ,39%,$166.95 ,USA,1 Year
ORTRONICS,60300171,FIBER SCRIBE TOOL,$219.48 ,$109.74 ,50%,$134.84 ,39%,$133.83 ,USA,1 Year
ORTRONICS,60300172,"STRIP TOOL,BUFFER",$168.56 ,$84.28 ,50%,$103.56 ,39%,$102.78 ,USA,1 Year
ORTRONICS,60300173,"SHEATH STRIPPER,FIBER CBL",$505.66 ,$252.83 ,50%,$310.66 ,39%,$308.33 ,USA,1 Year
ORTRONICS,60300174,"CUT LENGTH TEMPLATE LC,5/PK",$28.90 ,$14.45 ,50%,$17.76 ,39%,$17.62 ,USA,1 Year
ORTRONICS,60300175,CUT LENGTH TEMP SC/ST (5/PK),$68.78 ,$34.39 ,50%,$42.26 ,39%,$41.94 ,USA,1 Year
ORTRONICS,60300176,"DISC,POLISHING,1.25MM",$16.86 ,$8.43 ,50%,$10.36 ,39%,$10.28 ,USA,1 Year
ORTRONICS,60300177,"DISC,POLISHING,2.5MM",$31.30 ,$15.65 ,50%,$19.23 ,39%,$19.09 ,USA,1 Year
ORTRONICS,60300178,MICROSCOPE W/LC ADAPTER,$338.82 ,$169.41 ,50%,$208.16 ,39%,$206.60 ,USA,1 Year
ORTRONICS,60300179,"WIPES,DRY,4X4,250PK",$88.00 ,$44.00 ,50%,$54.06 ,39%,$53.66 ,USA,1 Year
