Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,PHC66U48,"48PORT,110,CURVED,CAT6,PANEL",$589.52 ,$294.76 ,50%,$362.18 ,39%,$359.46 ,USA,1 Year
ORTRONICS,PHD5E2124,"24 PORT,8/8,25F,CAT5E",$285.16 ,$142.58 ,50%,$175.19 ,39%,$173.88 ,USA,1 Year
ORTRONICS,PHD5E2148,"48 PORT,8/8,25F,CAT5E",$476.80 ,$238.40 ,50%,$292.93 ,39%,$290.73 ,USA,1 Year
ORTRONICS,PHD5E6U24,"24PORT,110/6PORT PANEL C5E HD",$200.48 ,$100.24 ,50%,$123.17 ,39%,$122.24 ,USA,1 Year
ORTRONICS,PHD5E6U24HM,"24PORT,110/6PORT C5E CLARITY",$293.04 ,$146.52 ,50%,$180.03 ,39%,$178.68 ,USA,1 Year
ORTRONICS,PHD5E6U48,"48PORT,110/6PORT PANEL C5E HD",$417.20 ,$208.60 ,50%,$256.31 ,39%,$254.39 ,USA,1 Year
ORTRONICS,PHD5E6U48HM,"48PORT,110/6PORT C5E CLARITY",$516.08 ,$258.04 ,50%,$317.06 ,39%,$314.68 ,USA,1 Year
ORTRONICS,PHD5E6U96,"96PORT,110/6PORT PANEL C5E HD",$774.08 ,$387.04 ,50%,$475.57 ,39%,$472.00 ,USA,1 Year
ORTRONICS,PHD5E8U16,"16PORT,110/8PORT PANEL C5E HD",$151.18 ,$75.59 ,50%,$92.88 ,39%,$92.18 ,USA,1 Year
ORTRONICS,PHD5E8U24,"24PORT,110/8PORT PANEL C5E HD",$202.42 ,$101.21 ,50%,$124.36 ,39%,$123.43 ,USA,1 Year
ORTRONICS,PHD5E8U48,"48PORT,110/8PORT PANEL C5E HD",$421.20 ,$210.60 ,50%,$258.77 ,39%,$256.83 ,USA,1 Year
ORTRONICS,PHD5E8U96,"96PORT,110/8PORT PANEL C5E HD",$781.52 ,$390.76 ,50%,$480.14 ,39%,$476.54 ,USA,1 Year
ORTRONICS,PHD5EFF24,"24PORT,RJ45 FEEDTHRU PNL",$315.30 ,$157.65 ,50%,$193.71 ,39%,$192.26 ,USA,1 Year
ORTRONICS,PHD610U24,"24PORT,110/6PORT,10G,PANEL",$510.10 ,$255.05 ,50%,$313.39 ,39%,$311.04 ,USA,1 Year
ORTRONICS,PHD610U48,"48PORT,110/6PORT,10G,PANEL","$1,020.56 ",$510.28 ,50%,$627.00 ,39%,$622.29 ,USA,1 Year
ORTRONICS,PHD66U24,"24PORT,110/6PORT PANEL CAT6 HD",$269.80 ,$134.90 ,50%,$165.76 ,39%,$164.51 ,USA,1 Year
ORTRONICS,PHD66U24HM,"24PORT,110/6PORT C6 CLARITY",$338.12 ,$169.06 ,50%,$207.73 ,39%,$206.17 ,USA,1 Year
ORTRONICS,PHD66U48,"48PORT,110/6PORT PANEL CAT6 HD",$532.74 ,$266.37 ,50%,$327.30 ,39%,$324.84 ,USA,1 Year
ORTRONICS,PHD66U48HM,"48PORT,110/6PORT C6 CLARITY",$612.18 ,$306.09 ,50%,$376.10 ,39%,$373.28 ,USA,1 Year
