Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Ortronics,SP6U24,"24PORT,110/6PORT PANEL CAT6 HD",$186.72 ,$93.36 ,50%,$114.71 ,39%,$113.85 ,MX,1 Year
Ortronics,SP6U48,"48PORT,110/6PORT PANEL CAT6 HD",$370.26 ,$185.13 ,50%,$227.47 ,39%,$225.77 ,MX,1 Year
Ortronics,SS2-1ACLC2MA,"SEC,SERII,LC,2F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1ACLC2MB,"SEC,SERII,LC,2F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1ACLC2MC,"SEC,SERII,LC,2F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1ACLC4MA,"SEC,SERII,LC,4F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1ACLC4MB,"SEC,SERII,LC,4F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1ACLC4MC,"SEC,SERII,LC,4F,ANG,2U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1FALC4MA,"SEC,SERIESII,LC,FLSH,1U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1FALC4MB,"SEC,SERIESII,LC,FLSH,1U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-1FALC4MC,"SEC,SERIESII,LC,FLSH,1U,1KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2ACLC4MA,"SEC,SERII,LC,4F,ANG,2U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2ACLC4MB,"SEC,SERII,LC,4F,ANG,2U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2ACLC4MC,"SEC,SERII,LC,4F,ANG,2U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2FALC4MA,"SEC,SERIESII,LC,FLSH,1U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2FALC4MB,"SEC,SERIESII,LC,FLSH,1U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,SS2-2FALC4MC,"SEC,SERIESII,LC,FLSH,1U,2KY",$52.28 ,$26.14 ,50%,$32.12 ,39%,$31.88 ,MX,1 Year
Ortronics,STJ-1ACLC2MA,"SEC,TRACJACK,LC,ANG,2U,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-1ACLC2MB,"SEC,TRACJACK,LC,ANG,2U,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-1ACLC2MC,"SEC,TRACJACK,LC,ANG,2U,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-1FALC2MA,"SEC,TRACJACK,LC,FLSH,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-1FALC2MB,"SEC,TRACJACK,LC,FLSH,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-1FALC2MC,"SEC,TRACJACK,LC,FLSH,1KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-2FALC2MA,"SEC,TRACJACK,LC,FLSH,2KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-2FALC2MB,"SEC,TRACJACK,LC,FLSH,2KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,STJ-2FALC2MC,"SEC,TRACJACK,LC,FLSH,2KY",$37.64 ,$18.82 ,50%,$23.12 ,39%,$22.95 ,MX,1 Year
Ortronics,SVMS704,"VERTICAL CABLE MGR,SNGL SIDED",$227.12 ,$113.56 ,50%,$139.53 ,39%,$138.49 ,US,1 Year
Ortronics,SVMS706,"VERTICAL CABLE MGR,SNGL SIDED",$340.70 ,$170.35 ,50%,$209.31 ,39%,$207.74 ,US,1 Year
Ortronics,SVMS804,"VERTICAL CABLE MGR,SNGL SIDED",$340.70 ,$170.35 ,50%,$209.31 ,39%,$207.74 ,US,1 Year
Ortronics,SVMS806,"VERTICAL CABLE MGR,SNGL SIDED",$454.24 ,$227.12 ,50%,$279.07 ,39%,$276.98 ,US,1 Year
Ortronics,S205KNN9GA-MMA,"CONN KIT,SECURE,LC,MM,1PC",$14.34 ,$7.17 ,50%,$8.81 ,39%,$8.74 ,MX,1 Year
Ortronics,S205KNN9GA-MMB,"CONN KIT,SECURE,AN,LC,MM,1PC",$14.34 ,$7.17 ,50%,$8.81 ,39%,$8.74 ,MX,1 Year
Ortronics,S205KNN9GA-MMC,"CONN KIT,SECURE,AN,LC,MM,1PC",$14.34 ,$7.17 ,50%,$8.81 ,39%,$8.74 ,MX,1 Year
Ortronics,S205KNS9GA-50EA,"CONN KIT,SECURE,PP,LC,50,1PC",$26.58 ,$13.29 ,50%,$16.33 ,39%,$16.21 ,MX,1 Year
Ortronics,S205KNS9GA-50EB,"CONN KIT,SECURE,PP,LC,50,1PC",$26.58 ,$13.29 ,50%,$16.33 ,39%,$16.21 ,MX,1 Year
Ortronics,S205KNS9GA-50EC,"CONN KIT,SECURE,PP,LC,50,1PC",$26.58 ,$13.29 ,50%,$16.33 ,39%,$16.21 ,MX,1 Year
Ortronics,S21RJ25,"SII,6P6C,110,180,1UNIT",$7.22 ,$3.61 ,50%,$4.44 ,39%,$4.40 ,MX,1 Year
Ortronics,S21RJ61,"SII,8P8C,110,180,1UNIT",$8.22 ,$4.11 ,50%,$5.05 ,39%,$5.01 ,MX,1 Year
Ortronics,S215E00,"SII,C5E,CLARITY,T568A/B 1PORT",$8.48 ,$4.24 ,50%,$5.21 ,39%,$5.17 ,MX,1 Year
Ortronics,S215E00-00,"SII,C5E,CLARITY,T568A/B,1PORT",$8.62 ,$4.31 ,50%,$5.30 ,39%,$5.26 ,MX,1 Year
Ortronics,S215E00-13,"SII,C5E,CLARITY,T568A/B,1PORT",$8.62 ,$4.31 ,50%,$5.30 ,39%,$5.26 ,MX,1 Year
Ortronics,S215E00-78,"SII,C5E,CLARITY,T568A/B,1PORT",$8.62 ,$4.31 ,50%,$5.30 ,39%,$5.26 ,MX,1 Year
Ortronics,S215E00-88,"SII,C5E,CLARITY,T568A/B,1PORT",$8.62 ,$4.31 ,50%,$5.30 ,39%,$5.26 ,MX,1 Year
Ortronics,S215E00-99,"SII,C5E,CLARITY,T568A/B,1PORT",$8.62 ,$4.31 ,50%,$5.30 ,39%,$5.26 ,MX,1 Year
Ortronics,S21600,"SII,CAT6,CLARITY,T568A/B,1PORT",$12.26 ,$6.13 ,50%,$7.53 ,39%,$7.48 ,MX,1 Year
Ortronics,S21600-00,"SII,CAT6,CLARITY,T568A/B,1PORT",$12.44 ,$6.22 ,50%,$7.64 ,39%,$7.59 ,MX,1 Year
Ortronics,S21600-78,"SII,CAT6,CLARITY,T568A/B,1PORT",$12.44 ,$6.22 ,50%,$7.64 ,39%,$7.59 ,MX,1 Year
Ortronics,S21600-88,"SII,CAT6,CLARITY,T568A/B,1PORT",$12.44 ,$6.22 ,50%,$7.64 ,39%,$7.59 ,MX,1 Year
Ortronics,S21600-99,"SII,CAT6,CLARITY,T568A/B,1PORT",$12.44 ,$6.22 ,50%,$7.64 ,39%,$7.59 ,MX,1 Year
Ortronics,S22RJ25,"SII,2/6P6C,110,180,1UNIT",$12.90 ,$6.45 ,50%,$7.93 ,39%,$7.87 ,MX,1 Year
Ortronics,S22RJ25-13,"SII,2/6P6C,110,180,1UNIT",$12.90 ,$6.45 ,50%,$7.93 ,39%,$7.87 ,MX,1 Year
Ortronics,S22RJ25-5E,"SII,RJ25,CT5E,110,1UNIT",$15.12 ,$7.56 ,50%,$9.29 ,39%,$9.22 ,MX,1 Year
Ortronics,S22RJ61,"SII,2/8P8C,110,180,1UNIT",$13.90 ,$6.95 ,50%,$8.54 ,39%,$8.48 ,MX,1 Year
Ortronics,S225E00,"SII,C5E,CLARITY,T568A/B,2PORT",$16.46 ,$8.23 ,50%,$10.11 ,39%,$10.04 ,MX,1 Year
Ortronics,S225E00-00,"SII,C5E,CLARITY,T568A/B,2PORT",$16.78 ,$8.39 ,50%,$10.31 ,39%,$10.23 ,MX,1 Year
Ortronics,S225E00-13,"SII,C5E,CLARITY,T568A/B,2PORT",$16.78 ,$8.39 ,50%,$10.31 ,39%,$10.23 ,MX,1 Year
Ortronics,S225E00-78,"SII,C5E,CLARITY,T568A/B,2PORT",$16.78 ,$8.39 ,50%,$10.31 ,39%,$10.23 ,MX,1 Year
Ortronics,S225E00-88,"SII,C5E,CLARITY,T568A/B,2PORT",$16.78 ,$8.39 ,50%,$10.31 ,39%,$10.23 ,MX,1 Year
Ortronics,S225E00-99,"SII,C5E,CLARITY,T568A/B,2PORT",$16.78 ,$8.39 ,50%,$10.31 ,39%,$10.23 ,MX,1 Year
Ortronics,S22600,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.16 ,$12.08 ,50%,$14.84 ,39%,$14.73 ,MX,1 Year
Ortronics,S22600-00,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.60 ,$12.30 ,50%,$15.11 ,39%,$15.00 ,MX,1 Year
Ortronics,S22600-13,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.60 ,$12.30 ,50%,$15.11 ,39%,$15.00 ,MX,1 Year
Ortronics,S22600-78,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.60 ,$12.30 ,50%,$15.11 ,39%,$15.00 ,MX,1 Year
Ortronics,S22600-88,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.60 ,$12.30 ,50%,$15.11 ,39%,$15.00 ,MX,1 Year
Ortronics,S22600-99,"SII,CAT6,CLARITY,T568A/B,2PORT",$24.60 ,$12.30 ,50%,$15.11 ,39%,$15.00 ,MX,1 Year
Ortronics,TJC5E00,"TRACJACK,CAT5E, ANTI-CORROSIVE",$12.20 ,$6.10 ,50%,$7.50 ,39%,$7.44 ,MX,1 Year
Ortronics,TJC5E00-36,"TRACJACK, CAT5E, ANTI-CORROSIV",$12.20 ,$6.10 ,50%,$7.50 ,39%,$7.44 ,MX,1 Year
Ortronics,TJC600,"TRACJACK, CAT6, ANTI-CORROSIVE",$16.76 ,$8.38 ,50%,$10.30 ,39%,$10.22 ,MX,1 Year
Ortronics,TJC600-36,"TRACJACK, CAT6, ANTI-CORROSIVE",$16.76 ,$8.38 ,50%,$10.30 ,39%,$10.22 ,MX,1 Year
Ortronics,TJSNIC-53,"SNAP INLINE COUPLER, TRACJACK",$15.98 ,$7.99 ,50%,$9.82 ,39%,$9.74 ,MX,1 Year
Ortronics,TJSN5E-09,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-36,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-42,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-43,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-44,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-45,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN5E-68,TRACJACK CLARITY SNAP CAT5E,$7.04 ,$3.52 ,50%,$4.33 ,39%,$4.29 ,MX,1 Year
Ortronics,TJSN6-09,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6-36,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6-42,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6-43,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
